input, total, tgen, tsplit, tsign
8563,247,5,56,183
9103,222,4,40,175
25811,202,4,31,164
553,210,5,36,167
31125,213,4,31,174
24173,223,4,46,170
8037,221,5,34,178
13504,225,4,36,182
18178,233,4,51,176
30077,222,7,32,179
2842,217,5,39,170
22796,230,4,46,177
6243,250,4,53,190
12618,243,8,48,184
28850,261,4,56,198
15676,226,4,53,167
9435,219,5,36,175
2785,218,5,32,179
29565,231,4,37,188
1378,223,5,33,182
20027,231,5,36,187
32419,232,4,38,187
11505,221,6,35,177
27699,228,5,32,188
6634,249,5,42,199
13996,287,6,59,219
8347,265,5,56,201
8735,267,5,56,203
15106,258,5,56,194
20297,268,5,54,206
18198,256,6,57,190
3673,264,5,52,203
30469,230,4,45,178
32076,253,8,46,196
31522,241,5,57,176
15981,227,5,31,188
28912,253,4,54,193
29885,238,4,52,179
18261,224,4,39,178
12278,220,5,34,178
3941,224,4,36,181
20093,246,5,46,192
30452,256,6,59,188
8091,212,5,30,175
30703,217,4,37,173
15742,213,4,39,167
9820,217,4,30,180
4119,224,4,48,169
26568,239,4,35,196
21847,210,4,31,171
27468,211,4,33,171
529,202,5,31,163
30165,206,4,32,166
4386,206,4,31,167
18188,239,4,50,181
1414,256,6,64,183
16232,216,4,31,177
30365,232,5,35,189
28771,249,4,58,184
23244,260,4,53,200
15438,255,5,49,197
31620,238,4,32,199
30487,245,5,58,180
25790,253,5,53,192
22140,217,5,33,177
5223,216,4,31,178
1723,210,5,32,171
14624,214,4,34,173
6896,218,5,31,180
26872,218,5,37,174
11368,220,5,35,176
25346,221,4,36,178
12953,223,5,31,185
13508,231,5,37,186
6938,216,5,32,176
21957,215,4,33,175
28097,223,4,33,183
6504,241,5,46,188
12525,240,4,58,175
9857,224,4,33,183
19891,231,4,50,174
24547,239,5,55,176
25854,218,4,30,181
10819,214,4,32,174
23770,216,4,34,175
5382,218,4,30,181
888,213,4,33,174
13422,217,5,37,171
27938,237,5,40,189
10699,231,4,45,179
27195,234,5,39,187
421,250,4,59,185
18830,247,4,61,179
22835,258,4,56,195
25366,262,4,61,193
7905,252,5,56,188
30879,244,4,53,183
31897,240,4,59,176
13417,206,4,32,167
22540,238,4,52,179
